페이지,상품명,상품설명,정가,할인가,할인율,배송유형,리뷰수,이미지URL,상품링크
5,[샐러드판다] 랩 3종 (택1),간편하게 챙기는 간식 랩,정가 없음,"3,900",할인율 없음,샛별배송,539,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000916614
5,[플라하반] 퀵 오트밀 4종 (택1),빠르게 준비하는 든든한 아침,정가 없음,"13,500",할인율 없음,샛별배송,999+,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000335212
5,[키즈다이닝] 엄마와 함께 소고기 비빔밥 세트,간장 양념장에 비벼 먹는,정가 없음,"9,800",할인율 없음,샛별배송,851,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000773231
5,[플라하반] 점보 오트밀 2종 (택1),통통한 귀리를 그대로 누른 오트밀,"8,900","7,500",15%,샛별배송,"9,999+","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000335283
5,[면사랑] 간편한 전통 한식잡채 305g *2개입,손쉽게 요리하는 메인 요리,"9,400","8,460",10%,샛별배송,601,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000792435
5,[마이셰프] 찹스테이크,알록달록한 색감으로 더욱 푸짐한,"17,900","16,110",10%,샛별배송,"9,999+","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/5067782
5,[CJ] 진한육수 곱창전골,사골 국물의 진한 맛이 더해진 곱창전골,"13,980","10,980",21%,샛별배송,159,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000780215
5,[푸디버디] 흔들흔들 팝콘치킨 (2개입) 4종,양념치킨&치즈&바베큐&짜장 맛따라 골라먹는,"11,400","9,120",20%,샛별배송,161,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000408448
5,[비비고] 낙곱새전골,"탱글한 낙지와 곱창, 새우와 즐기는 매콤한 전골","14,980","11,980",20%,샛별배송,210,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000780213
5,[비비고] 곱창순대전골,들깨가루의 고소함을 더한 곱창순대전골,"14,980","11,980",20%,샛별배송,168,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000780211
