페이지,상품명,상품설명,정가,할인가,할인율,배송유형,리뷰수,이미지URL,상품링크
15,"[샐러딩] 샐러드 8종 (리뉴얼, 택1)",요리처럼 즐기는 싱그러운 한 끼,정가 없음,"6,900",할인율 없음,샛별배송,"9,999+","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000124092
15,[컬리X햇반] 향긋한 골든퀸쌀밥 210g*6입,골든퀸의 구수한 향미가 가득,"9,980","5,980",40%,샛별배송,"9,999+","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000202889
15,[푸드렐라] 통통살 가라아게(2개입),육즙이 가득한 풍성한 맛,"11,000","10,230",7%,샛별배송,"9,999+","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000029144
15,[테이스틴] 단백질 두부리또 7종 (2개입),포두부로 감싸 만든 부리또,"9,000","7,830",13%,샛별배송,"9,999+","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000223574
15,[비비고] 왕교자 455gx2개입,풍성한 식감의 만두의 정석,"9,480","8,680",8%,샛별배송,"9,999+","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000229616
15,"[어게인리프레쉬] 샐러드 8종 (택1, 리뉴얼)",내 취향에 맞는 샐러드 고르기,정가 없음,"5,900",할인율 없음,샛별배송,"9,999+","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000268088
15,[99치킨] 순살 닭강정,온 가족이 함께 즐기는 99치킨,"9,900","8,900",10%,샛별배송,"9,999+","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000308975
16,[정미경키친] 한우 비빔밥 세트,정갈하게 완성하는 간편한 비빔밥,정가 없음,"13,900",할인율 없음,샛별배송,"9,999+","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/5013402
16,[정미경키친] 산채나물 비빔세트,산나물이 가득 담긴 비빔밥 키트,정가 없음,"9,900",할인율 없음,샛별배송,"9,999+","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/5042811
16,[김구원선생] 우삼겹 순두부찌개,국산 두부와 우삼겹의 고소한 만남,정가 없음,"8,950",할인율 없음,샛별배송,"9,999+","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/5069404
16,[광화문 미진] 메밀 국수 3종 (택1),메밀 명가의 시그니처 메뉴,"9,980","9,081",9%,샛별배송,"9,999+",https://img-cf.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/shop/data/goods/1647309164437l0.jpg,https://www.kurly.com/goods/5122472
16,[도제] 가츠산도,돈가스와 식빵의 단순한 조합,정가 없음,"6,500",할인율 없음,샛별배송,"9,999+",https://img-cf.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/shop/data/goods/1557464684408l0.jpg,https://www.kurly.com/goods/5036684
16,[99치킨] 두 마리 & 윙봉 콤보 (택1),부담 없이 즐기는 옛날 통닭,정가 없음,"9,900",할인율 없음,샛별배송,"9,999+",https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/f035f9b8-a411-4fea-9834-7c2e9d138029.jpg,https://www.kurly.com/goods/1000192107
16,[풀무원] 고소한 유부초밥,고소한 감칠맛이 매력적인,"5,680","4,540",20%,샛별배송,"9,999+",https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/88ebc81c-434f-4f26-8f95-2b373c08c7d0.jpeg,https://www.kurly.com/goods/5069131
16,[풀무원] 육즙 듬뿍만두 (렌지용),풀무원 만두를 한 입에,정가 없음,"4,000",할인율 없음,샛별배송,"9,999+",https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/27704c8f-5105-44d8-bed2-d438a84205d4.jpg,https://www.kurly.com/goods/1000896553
16,[하코야] 인기 밀키트 6종 골라담기 (택1),최대 25% 특가로 즐기는 하코야 인기 상품,"8,200","6,970",15%,샛별배송,"9,999+",https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/ed1d6d10-5609-4dd7-8c4e-2b13526c15c2.jpeg,https://www.kurly.com/goods/1001345875
17,[SEMIWON] 왕하가우,집에서 즐기는 정통 광동식 딤섬,정가 없음,"6,880",할인율 없음,샛별배송,"9,999+",https://img-cf.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/shop/data/goods/1500540457194l0.jpg,https://www.kurly.com/goods/5007148
17,[고온어다이어트] 시즌3 도시락 4종,맛과 식감을 모두 고려한 메뉴 구성,정가 없음,"5,200",할인율 없음,샛별배송,"9,999+","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/5104100
17,[도제] 타마고산도,빵 속에 도톰한 달걀말이,정가 없음,"5,900",할인율 없음,샛별배송,"9,999+",https://img-cf.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/shop/data/goods/1557464509392l0.jpg,https://www.kurly.com/goods/5036683
